dyear,daily_fare,daily_miles,var,group,year
2011-07-14,3867526.281600106,736463.9599999865,paytype,Credit,2011
2011-07-14,3912202.0944001316,713220.329999981,paytype,Cash,2011
2011-07-15,3794086.87199996,731553.2600000058,paytype,Credit,2011
2011-07-15,4087757.9232001873,757473.0699999977,paytype,Cash,2011
2011-07-16,3136363.819200058,627543.7699999976,paytype,Credit,2011
2011-07-16,4066711.6752000437,794249.0700000118,paytype,Cash,2011
2011-07-17,3081093.134400017,647011.2400000035,paytype,Credit,2011
2011-07-17,3725614.2816000944,765990.0200000138,paytype,Cash,2011
2011-07-18,3250329.249600015,651265.910000007,paytype,Credit,2011
2011-07-18,3531286.713600052,669984.6099999965,paytype,Cash,2011
2011-07-19,3505621.363200111,668934.9900000099,paytype,Credit,2011
2011-07-19,3632567.083200224,659057.0800000128,paytype,Cash,2011
2011-07-20,3847956.926400111,714784.3899999887,paytype,Credit,2011
2011-07-20,3859736.2416001614,682680.8500000006,paytype,Cash,2011
2011-07-21,4076382.8304001233,766578.7399999979,paytype,Credit,2011
2011-07-21,4084454.707200111,733031.9799999741,paytype,Cash,2011
